#Time Flux Flux-Trend Trend
2856.23131754 0.97927303 0.99166320 -0.01239017
2856.25174911 0.98352305 0.99510290 -0.01157985
2856.27218077 0.98711235 0.99786485 -0.01075250
2856.29261253 0.99203355 1.00187748 -0.00984394
2856.31304420 0.99590414 1.00460933 -0.00870519
2856.33347576 0.99986689 1.00735105 -0.00748416
2856.35390753 1.00383849 1.01004679 -0.00620830
2856.37433919 1.00818402 1.01306842 -0.00488441
2856.39477075 1.01077271 1.01438390 -0.00361119
2856.41520251 1.01547537 1.01815585 -0.00268048
2856.43563418 1.01849912 1.02010640 -0.00160729
2856.45606574 1.02081131 1.02160077 -0.00078946
2856.47649750 1.02269538 1.02281168 -0.00011630
2856.49692917 1.02449698 1.02402945 0.00046753
2856.51736093 1.02229444 1.02148480 0.00080964
2856.53779249 1.02315713 1.02235166 0.00080547
2856.55822415 1.02211349 1.02137623 0.00073726
2856.59908747 1.01770453 1.01773229 -0.00002776
2856.61951914 1.01593630 1.01679372 -0.00085742
2856.63995090 1.01407565 1.01599497 -0.00191932
2856.66038246 1.01194431 1.01522650 -0.00328218
2856.68081412 1.00984821 1.01451056 -0.00466235
2856.70124578 1.00802695 1.01412882 -0.00610188
2856.72167744 1.00575629 1.01336098 -0.00760469
2856.74210910 1.00311245 1.01225796 -0.00914551
2856.76254076 1.00029691 1.01002816 -0.00973125
2856.78297242 0.99646610 1.00728535 -0.01081926
2856.80340408 0.99290386 1.00454662 -0.01164276
2856.82383584 0.98932722 1.00178967 -0.01246245
2856.84426740 0.98769145 1.00084824 -0.01315679
2856.86469916 0.98478662 0.99866344 -0.01387682
2856.88513082 0.98428472 0.99857609 -0.01429138
2856.90556238 0.98303150 0.99772763 -0.01469612
2856.92599414 0.98312984 0.99800732 -0.01487748
2856.94642580 0.98253974 0.99742140 -0.01488166
2856.96685735 0.97620738 0.99084153 -0.01463415
2856.98728911 0.96522698 0.97929824 -0.01407126
2857.00772077 0.95473212 0.96800203 -0.01326991
2857.02815233 0.94907411 0.96153239 -0.01245828
