#Time Flux Flux-Trend Trend
2858.90786462 -0.00639180 -0.00878765 0.00239586
2858.92829627 -0.00536775 -0.00832814 0.00296039
2858.94872801 -0.00416400 -0.00771406 0.00355006
2858.96915955 -0.00295948 -0.00718123 0.00422176
2858.98959120 -0.00143347 -0.00645007 0.00501660
2859.01002294 0.00013272 -0.00565307 0.00578579
2859.03045448 0.00187257 -0.00474114 0.00661370
2859.05088613 0.00367539 -0.00372720 0.00740259
2859.07131787 0.00548229 -0.00278149 0.00826378
2859.09174941 0.00726245 -0.00173551 0.00899796
2859.11218116 0.00829744 -0.00115398 0.00945142
2859.13261280 0.00997871 -0.00018958 0.01016829
2859.15304434 0.01148887 0.00062649 0.01086237
2859.17347608 0.01275922 0.00134529 0.01141393
2859.19390773 0.01385668 0.00186338 0.01199330
2859.21433937 0.01474060 0.00230636 0.01243424
2859.23477101 0.01556587 0.00280234 0.01276353
2859.25520265 0.01615816 0.00323407 0.01292409
2859.29606594 0.01618751 0.00328648 0.01290103
2859.31649758 0.01591172 0.00323192 0.01267980
2859.33692922 0.01522174 0.00298478 0.01223696
2859.35736096 0.01516058 0.00296868 0.01219190
2859.37779250 0.01421232 0.00278625 0.01142607
2859.39822424 0.01302219 0.00241617 0.01060603
2859.41865588 0.01168765 0.00202707 0.00966057
2859.43908742 0.01015535 0.00145488 0.00870047
2859.45951917 0.00923861 0.00117472 0.00806390
2859.47995081 0.00767366 0.00057648 0.00709718
2859.50038235 0.00596627 -0.00009556 0.00606183
2859.54124563 0.00297527 -0.00108850 0.00406377
2859.56167727 0.00166884 -0.00137450 0.00304333
2859.58210901 0.00034278 -0.00178204 0.00212482
2859.60254065 -0.00073923 -0.00204434 0.00130512
2859.62297219 -0.00157154 -0.00217019 0.00059864
2859.64340392 -0.00203206 -0.00197196 -0.00006009
2859.66383546 -0.00234887 -0.00179236 -0.00055651
2859.68426710 -0.00235279 -0.00147247 -0.00088032
2859.70469884 -0.00186501 -0.00113006 -0.00073495
2859.72513048 -0.00166941 -0.00093357 -0.00073584
2859.74556212 -0.00114791 -0.00052241 -0.00062549
